Bench Name,Path,Cost,Path_Length
br17,"[14, 5, 6, 15, 3, 4, 7, 8, 16, 0, 11, 2, 13, 10, 12, 1, 9, 14]",39,18
ftv33,"[25, 16, 15, 14, 12, 9, 32, 7, 8, 10, 11, 31, 17, 18, 19, 21, 20, 22, 24, 23, 26, 27, 28, 29, 1, 33, 30, 4, 6, 5, 2, 3, 13, 0, 25]",1384,35
ftv35,"[24, 20, 23, 17, 10, 33, 18, 19, 21, 22, 28, 29, 30, 27, 31, 35, 32, 4, 5, 7, 6, 2, 3, 0, 13, 11, 12, 34, 8, 9, 14, 15, 16, 1, 26, 25, 24]",1573,37
ftv38,"[18, 19, 1, 15, 6, 7, 5, 8, 37, 9, 10, 11, 12, 13, 36, 20, 21, 22, 23, 24, 25, 26, 31, 32, 33, 29, 28, 27, 30, 34, 38, 35, 4, 2, 3, 0, 16, 14, 17, 18]",1608,40
p43,"[2, 1, 3, 27, 28, 29, 30, 5, 6, 7, 8, 9, 10, 11, 31, 32, 33, 34, 12, 13, 14, 15, 16, 17, 18, 19, 20, 26, 25, 21, 23, 22, 24, 36, 35, 0, 4, 37, 38, 39, 40, 41, 42, 2]",5644,44
ftv44,"[10, 43, 11, 12, 13, 15, 14, 19, 21, 0, 1, 2, 5, 20, 7, 9, 8, 40, 39, 38, 44, 3, 4, 6, 41, 35, 32, 28, 29, 26, 42, 23, 24, 25, 27, 33, 34, 36, 37, 31, 30, 22, 18, 16, 17, 10]",1765,46
ftv47,"[15, 35, 16, 45, 21, 20, 18, 17, 13, 34, 46, 36, 14, 23, 12, 7, 31, 5, 6, 9, 33, 27, 28, 2, 41, 43, 22, 40, 47, 26, 42, 0, 25, 1, 8, 32, 24, 4, 29, 30, 3, 10, 11, 37, 38, 39, 19, 44, 15]",2043,49
ry48p,"[33, 13, 24, 12, 31, 23, 9, 25, 3, 44, 34, 41, 1, 28, 4, 47, 38, 20, 46, 19, 32, 11, 14, 39, 8, 0, 7, 37, 30, 43, 35, 27, 29, 36, 42, 16, 26, 18, 5, 6, 17, 45, 10, 22, 2, 21, 15, 40, 33]",15213,49
ft53,"[15, 52, 51, 50, 49, 48, 29, 28, 25, 27, 26, 7, 6, 5, 8, 9, 33, 31, 30, 0, 4, 2, 17, 16, 11, 10, 12, 14, 13, 34, 32, 21, 20, 39, 37, 36, 35, 40, 38, 45, 43, 41, 47, 42, 46, 44, 23, 24, 22, 19, 18, 1, 3, 15]",7968,54
ftv55,"[28, 53, 43, 44, 29, 27, 49, 45, 30, 46, 55, 34, 1, 2, 0, 33, 25, 24, 42, 21, 50, 22, 41, 23, 20, 40, 19, 18, 39, 11, 38, 10, 51, 14, 13, 35, 4, 6, 5, 47, 31, 48, 3, 7, 32, 8, 36, 9, 37, 12, 15, 16, 17, 52, 26, 54, 28]",1780,57
ftv64,"[14, 47, 5, 36, 8, 40, 41, 9, 42, 11, 45, 10, 60, 15, 0, 61, 1, 37, 3, 64, 38, 2, 4, 39, 6, 57, 58, 34, 56, 32, 25, 63, 29, 52, 30, 53, 31, 62, 51, 24, 23, 49, 22, 59, 21, 48, 35, 20, 19, 46, 12, 43, 44, 7, 13, 16, 17, 18, 27, 26, 55, 33, 28, 50, 54, 14]",2204,66
ft70,"[23, 26, 35, 38, 39, 37, 69, 67, 65, 68, 66, 63, 64, 48, 43, 49, 47, 55, 51, 50, 18, 30, 15, 11, 13, 8, 12, 10, 9, 7, 3, 60, 59, 57, 44, 46, 45, 58, 27, 22, 25, 24, 6, 0, 1, 5, 4, 28, 54, 52, 53, 20, 17, 16, 19, 41, 36, 42, 40, 32, 29, 21, 56, 33, 31, 62, 61, 34, 14, 2, 23]",40648,71
ftv70,"[60, 33, 35, 34, 69, 41, 37, 63, 40, 68, 46, 62, 49, 48, 51, 50, 67, 47, 39, 38, 36, 42, 32, 26, 22, 17, 64, 28, 0, 65, 1, 2, 5, 25, 27, 6, 7, 9, 11, 10, 58, 61, 57, 56, 70, 3, 4, 8, 59, 45, 53, 44, 43, 54, 55, 52, 31, 30, 29, 24, 66, 14, 13, 12, 15, 16, 18, 19, 20, 21, 23, 60]",2175,72
kro124p,"[92, 27, 57, 60, 80, 24, 72, 49, 43, 1, 63, 53, 39, 68, 67, 84, 29, 51, 77, 95, 4, 36, 32, 12, 75, 94, 81, 38, 47, 13, 40, 99, 70, 2, 42, 45, 28, 33, 82, 54, 11, 85, 26, 19, 34, 61, 59, 22, 44, 31, 14, 16, 10, 58, 73, 71, 9, 83, 37, 23, 35, 98, 20, 46, 90, 97, 76, 8, 86, 50, 6, 56, 66, 7, 91, 62, 5, 48, 89, 52, 15, 21, 93, 17, 78, 87, 69, 64, 65, 3, 25, 55, 18, 96, 79, 30, 88, 41, 74, 0, 92]",40574,101
ftv170,"[24, 25, 150, 160, 151, 152, 142, 141, 134, 131, 113, 164, 127, 126, 125, 124, 121, 120, 122, 123, 162, 102, 103, 117, 118, 119, 129, 128, 130, 135, 138, 139, 140, 6, 7, 8, 9, 10, 76, 74, 75, 11, 12, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29, 30, 31, 35, 34, 156, 40, 39, 38, 37, 49, 170, 73, 77, 1, 2, 0, 81, 80, 79, 82, 78, 72, 71, 60, 50, 51, 52, 53, 43, 55, 54, 58, 59, 61, 68, 67, 167, 70, 87, 85, 86, 83, 84, 69, 66, 63, 64, 56, 57, 62, 65, 88, 153, 154, 89, 90, 91, 94, 96, 97, 99, 98, 95, 92, 93, 166, 108, 107, 106, 105, 165, 163, 100, 101, 104, 114, 110, 109, 115, 116, 136, 137, 147, 148, 149, 161, 14, 13, 32, 158, 36, 157, 33, 41, 155, 42, 45, 44, 46, 47, 48, 168, 3, 4, 5, 133, 169, 111, 112, 132, 143, 144, 146, 145, 15, 159, 16, 17, 24]",3384,172
